"lng","lat","timestamp_added","reward_scale","payer","owner","nonce","name","mode","location_hex","location","last_poc_challenge","last_change_block","gain","elevation","block_added","block","address","status.timestamp","status.online","status.listen_addrs","status.height","geocode.short_street","geocode.short_state","geocode.short_country","geocode.short_city","geocode.long_street","geocode.long_state","geocode.long_country","geocode.long_city","geocode.city_id"
"-74.0004441680377","40.7299413592233","2021-03-10T22:28:44.000000Z","1","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13H58axNoFdwo1dE9FNEf7PNXAkc8ifLtPQ4LZNvcufq1XZfzoB","1","brisk-mint-barbel","full","882a1072cdfffff","8c2a1072cd4a5ff","1727737","1766825","12","0","753989","1766942","112riH9tqtW2sYnHvTznpKg6PkAYTC2XSyBwh46QNnHaBW8dU8ZM","2022-07-18T04:02:58.821000Z","online","/p2p/11U3oUc4R39RSKJee6zWEmYPbbwgmdwpz9sMFknGpqnRNLSPLUx/p2p-circuit/p2p/112riH9tqtW2sYnHvTznpKg6PkAYTC2XSyBwh46QNnHaBW8dU8ZM","1444677","MacDougal St","NY","US","New York","MacDougal Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-74.0027356518797","40.732684169561","2021-03-10T22:14:27.000000Z","1","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13H58axNoFdwo1dE9FNEf7PNXAkc8ifLtPQ4LZNvcufq1XZfzoB","1","faithful-juniper-gerbil","full","882a1072cdfffff","8c2a1072cd1d3ff","1731319","1766918","12","0","753972","1766942","112YfUe6iNKYyodfesdkTj8UvJxBeDkftdHAkWbZ2XVsADCJZzKf","2022-07-18T10:57:33.743000Z","online","/p2p/112MgNBJ1uAjdvegn6higyWfZVqMJ5zjRW8VfCXBegY1BKtzn1vD/p2p-circuit/p2p/112YfUe6iNKYyodfesdkTj8UvJxBeDkftdHAkWbZ2XVsADCJZzKf","1445026","Barrow St","NY","US","New York","Barrow Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9802979930165","40.6579673972759","2021-03-10T22:03:34.000000Z","0.145843505859375","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","144nmybtWgNTNfCWboXhiDxU6Y16U8z2jU9MJUA7riFFCVy39wV","2","proper-taffy-mallard","full","882a107743fffff","8c2a107742461ff","1242095","1242140","58","0","753959","1766942","1123fkfyph7nuL5S4Ztydn5hpbB3GPEHfaznUxkTE9K1VhN8ppvj","2022-03-06T20:59:00.717000Z","offline","/p2p/112TzCGVVL3H4F4LA3fR4EHraqnquERCQ5HPLAiRxeSwdmrLnjDu/p2p-circuit/p2p/1123fkfyph7nuL5S4Ztydn5hpbB3GPEHfaznUxkTE9K1VhN8ppvj","1242397","Fuller Pl","NY","US","Brooklyn","Fuller Place","New York","United States","Brooklyn","YnJvb2tseW5uZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9485029355966","40.7814682808138","2021-03-10T21:37:02.000000Z","0.02618408203125","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13H58axNoFdwo1dE9FNEf7PNXAkc8ifLtPQ4LZNvcufq1XZfzoB","1","cheery-navy-porcupine","full","882a100899fffff","8c2a1008984abff","1075345","1075828","12","0","753929","1766942","11xD3Rxb7u8SBZvDWH7uHpUxHGyySfiNkW4VHXkKHHRZ1H696Hy","2021-10-29T06:14:49.329000Z","offline","/p2p/1174PXUTdpMAcZ3WfosPkQXkgs9wG3aMeWZT1RQG29JqnkdFBGv/p2p-circuit/p2p/11xD3Rxb7u8SBZvDWH7uHpUxHGyySfiNkW4VHXkKHHRZ1H696Hy","1075019","E 92nd St","NY","US","New York","East 92nd Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9716065655363","40.7956401075421","2021-03-10T20:19:51.000000Z","0.429931640625","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","148f6FrFVro4Yoc9FBoWRPVrEMusDGWZew2zgeSWBybK2CHmNKW","1","attractive-ultraviolet-chimpanzee","full","882a100881fffff","8c2a100880631ff","992120","992678","12","0","753846","1766942","11C14SuWbt8AdgTMt2h449Xy7yNdLg2RGTPBkyPBJvame86FZsr","2021-09-01T17:03:01.207000Z","offline","/p2p/11Da7VaBJaDaGav9Fufb42fKAFuLAdtuucFLam4SVwNBhbau5aC/p2p-circuit/p2p/11C14SuWbt8AdgTMt2h449Xy7yNdLg2RGTPBkyPBJvame86FZsr","992218","W 97th St","NY","US","New York","West 97th Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9449610545177","40.7039303096018","2021-03-10T18:51:52.000000Z","1","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","148f6FrFVro4Yoc9FBoWRPVrEMusDGWZew2zgeSWBybK2CHmNKW","2","winning-mulberry-whale","full","882a100debfffff","8c2a100dea049ff","1729955","1766941","58","0","753745","1766942","11joecqc3cemu6hFa46qNvgYoQPoCA3kg5E6ACJcsSdusjzT5hB","2022-07-18T09:08:32.797000Z","online","/ip4/72.89.119.85/tcp/44159","1444932","Moore St","NY","US","Brooklyn","Moore Street","New York","United States","Brooklyn","YnJvb2tseW5uZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.998092410529","40.7566575539024","2021-03-10T18:49:22.000000Z","1","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","14MYCL93eqDbPLo9g9LxKFspMiWH6gV318HKg7UZGUaVpExHfcZ","3","hot-butter-pigeon","full","882a10725bfffff","8c2a10725a987ff","1731183","1743667","80","90","753742","1766942","11zdzVeX7XvS9t8xLyzwJtcS2zsEQAjbZP9ubFXwYatsV6zecRH","2022-07-18T02:21:43.310000Z","offline","/ip4/209.150.59.120/tcp/44158","1431450","W 37th St","NY","US","New York","West 37th Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.8865398601604","40.656908195606","2021-03-10T18:27:12.000000Z","0.229721069335938","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","148f6FrFVro4Yoc9FBoWRPVrEMusDGWZew2zgeSWBybK2CHmNKW","1","upbeat-fiery-cat","full","882a100cb5fffff","8c2a100cb5283ff","1276457","1276889","12","0","753717","1766942","112TQc5o95pJRSDXFsXfuYrPHWZQuZ4VfoUhTV6WB24rr3nRGtBG","2022-03-22T11:34:02.298000Z","offline","/p2p/112uCV7G3myPuBAttT1HsUoSmCgYbczyVyGTLBK2WcQUn4vVZyj3/p2p-circuit/p2p/112TQc5o95pJRSDXFsXfuYrPHWZQuZ4VfoUhTV6WB24rr3nRGtBG","1276885","Wortman Ave","NY","US","Brooklyn","Wortman Avenue","New York","United States","Brooklyn","YnJvb2tseW5uZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9252638684994","40.6516286918302","2021-03-10T18:21:19.000000Z","0.206344604492188","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","148f6FrFVro4Yoc9FBoWRPVrEMusDGWZew2zgeSWBybK2CHmNKW","1","oblong-maroon-monkey","full","882a10766bfffff","8c2a10766b239ff","1286066","1286127","12","0","753711","1766942","11kohUpJH6s7Xw3i7zqs1ESpxRZAA9BxxeamPuSxQNZPM7nRKgT","2022-03-28T04:54:10.913000Z","offline","/ip4/67.82.112.83/tcp/44158","1285752","E 55th St","NY","US","Brooklyn","East 55th Street","New York","United States","Brooklyn","YnJvb2tseW5uZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9560543791082","40.800484054119","2021-03-10T17:34:58.000000Z","1","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","148f6FrFVro4Yoc9FBoWRPVrEMusDGWZew2zgeSWBybK2CHmNKW","1","mammoth-basil-rat","full","882a1008d5fffff","8c2a1008d4037ff","1730959","1766700","12","0","753657","1766942","1123CuroX9h8YdAhiCL1JvAjpp15iYhQbESDutK4KKD3dsEAdZyj","2022-07-18T12:23:32.557000Z","online","/ip4/74.71.185.164/tcp/44159","1443265","W 111th St","NY","US","New York","West 111th Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
